"Title","clean_answer_binned","clean_group"
"Global evidence of positive impacts of freshwater biodiversity on fishery yields","Topography and position","Environmental"
"Global evidence of positive impacts of freshwater biodiversity on fishery yields","Service provider diversity/richness","Biotic"
"Mammal diversity influences the carbon cycle through trophic interactions in the Amazon","Climate","Environmental"
"Mammal diversity influences the carbon cycle through trophic interactions in the Amazon","Service provider identity","Biotic"
"Managing ecosystems without prior knowledge: pathological outcomes of lake liming","Management/restoration","Human"
"Performance of salmon fishery portfolios across western North America","Land use and land cover change","LU_LC"
"Performance of salmon fishery portfolios across western North America","Management/restoration","Human"
"Performance of salmon fishery portfolios across western North America","Topography and position","Environmental"
"Performance of salmon fishery portfolios across western North America","Land cover","LU_LC"
"Pollination benefits are maximized at intermediate nutrient levels","Service provider identity","Biotic"
"Pollination benefits are maximized at intermediate nutrient levels","Soil characteristics","Environmental"
"Pronounced species turnover, but no functional equivalence in leaf consumption of invasive amphipods in the river Rhine","Service provider identity","Biotic"
"Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape","Extreme events","Environmental"
"Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape","Pathogens/natural enemies","Biotic"
"Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks","Climate","Environmental"
"Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks","Service provider identity","Biotic"
"Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks","Land cover","LU_LC"
"Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems","Management/restoration","Human"
"Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems","Pollination","Biotic"
"Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems","Service provider diversity/richness","Biotic"
"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California","Land use and land cover change","LU_LC"
"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California","Biotic characteristics of the plot","LU_LC"
"Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover","Land use and land cover change","LU_LC"
"Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover","Management/restoration","Human"
"Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","Climate","Environmental"
"Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","Extreme events","Environmental"
"Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","Land use and land cover change","LU_LC"
"Soil microbial restoration strategies for promoting climate-ready prairie ecosystems","Climate","Environmental"
"Soil microbial restoration strategies for promoting climate-ready prairie ecosystems","Management/restoration","Human"
"Soil microbial restoration strategies for promoting climate-ready prairie ecosystems","Service provider identity","Biotic"
"Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","Service provider identity","Biotic"
"Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","Land cover","LU_LC"
"Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","Pathogens/natural enemies","Biotic"
"Using citizen scientists to measure an ecosystem service nationwide","Service provider identity","Biotic"
"Using citizen scientists to measure an ecosystem service nationwide","Climate","Environmental"
"Using citizen scientists to measure an ecosystem service nationwide","Service provider abundance","Biotic"
"Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations","Aquatic biogeochemistry","Environmental"
"When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing","Climate","Environmental"
"When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing","Service provider reproduction, growth, and population maintenance","Biotic"
"Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem","Service provider identity","Biotic"
