Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q14_ESP_type,ESPcount,Q14_KremenNotes,biotic_driver_present,biotic_drivers,Q18_SurveyNotes,Round1_Comments,Q14_qa_note
Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016,LD,FALSE,final,Only land cover or habitat type as proxy,1,see table 1 Mean values of vegetation and environmental variables (± SD) impacted by contrasting long-term grazing intensity levels in dry Magellanic grass steppe.,FALSE,,considering grazing to produce services and this monitoring looks at its impact on functioning? Not sure if that makes sense,"Links several drivers and ES's; review of a data network that can be used as a tool, but also presents original results on these links",
Green roof plant species diversity improves ecosystem multifunctionality,Lundholm,JOURNAL OF APPLIED ECOLOGY,2015,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species],Across species  [e.g. community structure, diversity]",2,"did single species, single life forms (succulents, tall forb, dwarf shrub, creeping forb, grasses), mixtures of three life forms, and mixtures of all 5 life forms",TRUE,Service Provider (Q17),goal of paper was to assess multifunctionality of single ESPs or different mixtures of ESPs,,
Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine,Luz Caleno-Ruiz,GLOBAL ECOLOGY AND CONSERVATION,2018,KCG,FALSE,final,,0,,TRUE,Service Provider (Q17),Roots are used to make baskets which are sold for income.,,
Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Marcilio-Silva,CONSERVATION BIOLOGY,2018,CK,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Forest type (dense; mixed; seasonal),,,
"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",Marichal,EUROPEAN JOURNAL OF SOIL BIOLOGY,2017,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,,
"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Masselink,ECOLOGICAL ENGINEERING,2017,KCG,FALSE,final,,0,,FALSE,,,,
Both rare and common species support ecosystem services in scavenger communities,Mateo-Tomas,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2017,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),,,
Can carbon credits fund riparian forest restoration?,Matzek,RESTORATION ECOLOGY,2015,TM,FALSE,final,,0,,FALSE,,,,
Incomplete recovery of ecosystem processes after two decades of riparian forest restoration,Matzek,RESTORATION ECOLOGY,2016,NBD,FALSE,final,,0,,FALSE,,,effect of degradation and restoration on forest ES's,
Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition,McLaughlin,ECOLOGICAL APPLICATIONS,2013,TM,FALSE,final,,0,,FALSE,,,,
Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,McPhearson,ECOSYSTEM SERVICES,2013,IS,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,used table 2 for question 12 classification of ecosystem services and tables A1 and A2 for positive direction indicators,,
Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Meacham,ECOLOGY AND SOCIETY,2016,CK,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Land cover,This paper looks at ES bundles,,
Urban warming reduces aboveground carbon storage,Meineke,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016,NBD,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,FALSE,,,Links abiotic driver (warming) to EF/ES (tree carbon storage),
Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system,Melbourne-Thomas,ECOLOGICAL APPLICATIONS,2011,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,the end goal is biomass and cover for the various functional groups in the coral system,FALSE,,"the model incorporates bits of each of the drivers (hurricanes, nutrification, sedimentation, without emphasis on specific drivers of those forces).",,
Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016,TM,FALSE,final,,0,,TRUE,Forest stand age,,Effect of environmental drivers on edible mushroom ES's,
Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,biodiversity of grassland plant community,point was to model multifunctionality and specifically focus on biodiversity. tradeoffs discussed,,
Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems,Michel,NEW ZEALAND JOURNAL OF ECOLOGY,2013,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Micheli,BIOLOGICAL CONSERVATION,2014,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,uses biodiversity as proxy for ES,
An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Milligan,ECOSPHERE,2016,AK/AIS,TRUE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17); invasive species,AK: Strong negative effect on overall arthropod diversity and abundance but no detectable effects on dung-decomposing beetles or the functions they provide,Effect of biotic driver (invasive species) on EF (dung beetle activity i.e. decomposition),AK reviewed inconsistent answers
Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014,GV,FALSE,final,,0,,TRUE,Adjacent forest fragment size and isolation,,actually measure ES indicators!,
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making",Mitchell,ECOLOGY AND SOCIETY,2015,TM,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,,
Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016,SDJ,FALSE,final,,0,,FALSE,,"they list a wide range of potential services that could be influenced by vegetation height (local climate, carbon storage, rainfall interception, recreation). I filled the table out for only 1",,
Anolis lizards as biocontrol agents in mainland and island agroecosystems,Monagan,ECOLOGY AND EVOLUTION,2017,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,FALSE,,,,
Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems,Moores,ECOLOGY AND SOCIETY,2017,SDJ,FALSE,final,,0,,FALSE,,,"Close to being a tools paper or a risk assessment paper, but retained because it attempts to link management scenarios to ES outcomes",
Large frugivorous birds facilitate functional connectivity of fragmented landscapes,Mueller,JOURNAL OF APPLIED ECOLOGY,2014,CW,FALSE,final,"Single species  [e.g. ESPs, single species]",1,ESP = 30 male trumpeter hornbills (Bycanistes bucinator),TRUE,Service Provider (Q17),"Q10 note (connectivity question): Distance between patches is variable, it's not that connectivity is unclear or unspecified (there was no appropriate option). Between patch dispersal ranges from 77m to 14790m, within patch ranges 0m to 5103m). Out of 103 forest patches ID'd, 100 patches connected via bird movements. Q12 biotic driver note: biotic driver not studied in terms of effect, so direction of relationship NA. This study tracks bird migrations and quantifies number of flights and distance of flights within and between patches, by within- or outside-breeding season.",,
Butterfly-plant network in urban landscape: Implication for conservation and urban greening,Mukherjee,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2018,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity],Among species [e.g., species interactions]",3,,TRUE,Service Provider (Q17),,pollinator networks for selecting important plant species,
Organic farming at local and landscape scales fosters biological pest control in vineyards,Muneret,ECOLOGICAL APPLICATIONS,2019,CK,FALSE,final,,0,,TRUE,Vine stock or trunk density,,,
Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia,Murdoch,BIOLOGICAL CONSERVATION,2017,GV,FALSE,final,"Single species  [e.g. ESPs, single species],Only land cover or habitat type as proxy",2,Presence of sheep (as the ESP) dependent on land cover and habitat type as predictors/drivers.,FALSE,,,,
Forest Fire Severity Affects Host Plant Quality and Insect Herbivore Damage,Murphy,FRONTIERS IN ECOLOGY AND EVOLUTION,2018,TM,FALSE,final,,0,,FALSE,,,climate-driven fire intensity impacts on plant-insect interactions,
"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Mwangi,JOURNAL OF SOIL AND WATER CONSERVATION,2015,JL,FALSE,final,,0,,FALSE,,"Regarding Q13: while the paper incorporates an environmental driver, it is not a focus of the study. I did designate scale because the paper mentions variation between smaller-scale units and larger watershed trends and is inherently spatial in its modelling.",,
Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa,Ndou,AFRICAN JOURNAL OF ECOLOGY,2016,KCG,FALSE,final,,0,,FALSE,,,Soil ES responses to land management practices,
Assessing Resilience in Stressed Watersheds,Nemec,ECOLOGY AND SOCIETY,2014,NBD,FALSE,final,,0,,FALSE,,"resiliance is a metric based on: ecological variability, diversity, modularity, acknowledgement of slow variables, tight feedbacks, social capital, innovation, overlap in governance, and ecosystem services.",,
Farm and landscape factors interact to affect the supply of pollination services,Nicholson,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,Land cover and habitat type as predictor of multiple ESP species,TRUE,Service Provider (Q17),,,
How Do Biota Respond to Additional Physical Restoration of Restored Streams?,Nilsson,ECOSYSTEMS,2017,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,only quantified species richness for fish and plants,FALSE,,"didn't utilize EF or ES frameworks/terminology but framed response variables as important restoration in terms of habitat and regulating fluxes (e.g. of sediment, nutrients, and organisms)","Include if flood depth, flood duration, and riparian nutrients are proxies for EF/ES; Relevant driver is land management (type of restoration)",
"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",Noll,ECOLOGICAL RESTORATION,2019,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
A welcome can of worms? Hypoxia mitigation by an invasive species,Norkko,GLOBAL CHANGE BIOLOGY,2012,KCG,FALSE,final,,0,,TRUE,Service Provider (Q17),,,
Comparative Assessment of Mangrove Biomass and Fish Assemblages in an Urban and Rural Mangrove Wetlands in Ghana,Nortey,WETLANDS,2016,TM,FALSE,final,,0,Using biomass and community of woody material and fish communities as a proxy for ecosystem services,FALSE,,,Effect of urban/rural development on mangrove forest biomass and fish communities (ES - fisheries),
Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,Nyirambangutse,BIOGEOSCIENCES,2017,KCG,FALSE,final,,0,,FALSE,,,,
Growing the urban forest: tree performance in response to biotic and abiotic land management,Oldfield,RESTORATION ECOLOGY,2015,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),"The study only measures ONE set of response variables (tree growth and survival), which they claim to be a proxy for multiple services Although the paper repeatedly mentions THREE services (carbon capture, air quality, storm water mitigation), so the survey artificially inflates the study's reach",,
Living shorelines enhance nitrogen removal capacity over time,Onorevole,ECOLOGICAL ENGINEERING,2018,NBD,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,"oysters, denitrification, living coastal protection",
Climate and plant controls on soil organic matter in coastal wetlands,Osland,GLOBAL CHANGE BIOLOGY,2018,TK/KCG,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,plant productivity,,,"CTW reviewed, corrected based quick paper review and corrected Q12 answers"
Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Ouyang,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,AK/AIS,TRUE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Eclosion time of pest,,,"CTW reviewed and corrected based on corrected Q12 answers, keep AK answer because cotton bollworm pest studied (single species)"
Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process,Parsa,LANDSCAPE AND ECOLOGICAL ENGINEERING,,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
A trait-based ecology of the Los Angeles urban forest,Pataki,ECOSPHERE,2013,IS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",Paudyal,ECOSYSTEM SERVICES,2019,LB,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,"I think this could be considered measuring ES - uses land cover data and biophysical data to look at relationship between forest density and carbon stocks, sediment retention, habitat provision and raw materials",
"Homogenization of plant diversity, composition, and structure in North American urban yards",Pearse,ECOSPHERE,2018,SDJ,FALSE,final,,0,,FALSE,,services not clearly defined in this one,Only measure tree cover as a service proxy for climate regulation and aesthetics,
Seed dispersal effectiveness by a large-bodied invasive species in defaunated landscapes,Pedrosa,BIOTROPICA,,AIS,FALSE,final,"Single species  [e.g. ESPs, single species]",1,wild pig supplementing loss of tapirs,TRUE,Service Provider (Q17),,,
"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China",Peng,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,JL,FALSE,final,,0,,FALSE,,"Note for the ES-Driver table, the paper actually looked at the effect of the drivers on MULTIFUNCTIONALITY (a composite of all the listed ES's) rather than focusing on individual relationships between drivers and services",multifunctionality in agricultural landscapes,
Seascape architecture - incorporating ecological considerations in design of coastal and marine infrastructure,Perkol-Finkel,ECOLOGICAL ENGINEERING,2018,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,looked at all organisms that contribute to biogenic layer that protects seawalls from erosion and contributes to lasting integrity,FALSE,,"the authors didn't really use ES/EF language, especially to frame their response variables, but they do talk about how species richness and biodiversity contributes to sea wall stability",scale and much more!,
Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Peters,BIOTROPICA,2013,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"looked at all bird species and mostly focused on richness and diversity - however, their experiment with exclosures didn't manipulate bird species richness or evenness effectively to see if these specific components have an effect on the ES arthropod removal",FALSE,,,Service measured: bird predation on insect pest in agroforestry system,
Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert,Petrie,GLOBAL CHANGE BIOLOGY,2015,AK,FALSE,final,Only land cover or habitat type as proxy,1,"Just looked at grassland vs shrubland, not specific species within",TRUE,Type of vegetation (grassland vs. shrubland),,,
More is more? Forest management allocation at different spatial scales to mitigate conflicts between ecosystem services,Pohjanmies,LANDSCAPE ECOLOGY,2017,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"Only focuses on timber producing trees, but focuses on management of cutting not really about the biology of the trees",FALSE,,Good example of tradeoffs between services and across spatial scales,,
Ecological erosion of an Afrotropical forest and potential consequences for tree recruitment and forest biomass,Poulsen,BIOLOGICAL CONSERVATION,2013,GV,FALSE,final,,0,,FALSE,,"This study measured many things, but the only one that was clearly related to services was seed dispersal distance. They then loosely tied exploitation into carbon storage via forest structure change but didn't really measure the proper links to include that here.",,
Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil,Powers,MARINE ECOLOGY PROGRESS SERIES,2017,CK,FALSE,final,,0,,FALSE,,,"It's hard to say if this measures a service/function or just oyster cover, and i didnt have access to the paper. It says it measures erosion control for some sites, so I included it.",
Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change,Quetier,ECOLOGICAL APPLICATIONS,2007,LB,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,trait based analysis to make predictions of ecosystem service delivery,
Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,Redhead,ECOLOGICAL APPLICATIONS,2016,TK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
Landscape-level crop diversity benefits biological pest control,Redlich,JOURNAL OF APPLIED ECOLOGY,2018,TK,FALSE,final,,0,,FALSE,,,,
Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover,Reisinger,ECOLOGICAL APPLICATIONS,2019,AK/AIS,TRUE,final,,0,"AK: They didn't really consider individual ESPs, just the GPP of the species in aggregation (without considering structure or diversity)",FALSE,,"AK: Said mixed for a lot of the relationships because the paper didn't specify the type of relationship, only said that it was affected",,
Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl,Reynolds,BASIC AND APPLIED ECOLOGY,2016,GV,FALSE,final,"Single species  [e.g. ESPs, single species]",1,Measured seagrass acreage and modeled C and N storage based on coverage.,TRUE,Service Provider (Q17),"Did not measure C and N storage directly, only estimated using seagrass coverage.",,
Ecosystem services returned through seagrass restoration,Reynolds,RESTORATION ECOLOGY,2016,TM,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Service Provider (Q17),,Uses some actual data and a lot of modelling to estimate effect of active restoration on C and N pools,
"Diatoms to human uses: linking nitrogen deposition, aquatic eutrophication, and ecosystem services",Rhodes,ECOSPHERE,2017,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"seemed to lump all species together - e.g. zooplankton, macroinvertebrates, diatoms, algae",FALSE,,"listed all ecological endpoints/FEGS metrics in green across figures: water clarity, submerged aquatic vegetation coverage, presence of submerged aquatic vegetation-dependent fish and waterfowl,diversity of algal and bacterial communities, presence and abundance of fish, fish size, presence and abundance of submerged macrophytes, abundance of zooplankton, presence and abundance of terrestrial consumers, macroinvertebrate abundance and composition; addressed thresholds by discussing critical loads of atmospheric N deposition; whole paper was unclear about study locations and data sources to power their model; also jumped to focusing on ecological endpoints but didn’t really talk about specific ecosystem services for better classification for our survey Q12 but I inferred that most seemed to be lumped into freshwater quality;",,
Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,Robertson,WILDLIFE BIOLOGY,2017,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species]",1,red grouse (but also bog and heather vegetation as habitat providers for the red grouse),FALSE,,"time was partly included because they measured grouse breeding twice (1995-1999 and 2008-2012). but did not compare these time ranges. also mentioned parasitic worms and control of generalist predators, but these not mentioned outside the abstract description (i.e. not measured); Comment on Environmental driver: this one was creating habitat for grouse and the management practice was burning; Comment on Human driver: management practice was burning. service would be recreational hunting",Keep if grouse breeding can be considered an ES/EF as a direct proxy of recreational value,
Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest,Robinson,BIODIVERSITY AND CONSERVATION,2015,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),,,
"Determinants of establishment survival for residential trees in Sacramento County, CA",Roman,LANDSCAPE AND URBAN PLANNING,2014,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"30 different tree species studied, but instead of focusing on species-specific relationships, binned species by their water use efficiency (lo, med, hi) and dbh (small, med, large). No effect of WUE or tree size on survivorship and mortality.",TRUE,Service Provider (Q17),"RE: ES of study, authors write the tree planting program designed to reduce energy use by providing shade, so I recorded response variables and drivers in Energy ES. At the beginning of the paper, authors also mention urban trees can reduce stormwater runoff, provide shade (mitigate urban heat island effect), increase property value, and ""contribute to vibrant and walkable neighborhoods"". It also wasn't clear to me whether they intended tree survivorship as an EF or proxy for ES.. but think they intend it more as a function that contributes to services? ""Climate"" driver is whether tree was planted in dry or rainy season. Wetter season plantings had more survivorship over time, so indicated positive relationship (more rain = more survivorship). Time was also a predictor variable, but there is no where to record that in question 12.",,
Transient Social-Ecological Stability: the Effects of Invasive Species and Ecosystem Restoration on Nutrient Management Compromise in Lake Erie,Roy,ECOLOGY AND SOCIETY,2010,GV,FALSE,final,,0,,FALSE,,"Really difficult paper to code, it doesn't fit our structure very well. They had two models, one for the lake ecology and one for the management practices. The two models were linked, such that lake ecology influenced management and vice versa. Neither had 'response variables' as they were exploring the stability of the state of the system. Cool feedbacks example, but complicated modeling and they didn't actually measure services in the way we were expecting.",,
Organic farming and host density affect parasitism rates of tortricid moths in vineyards,Rusch,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,"Technically the study uses multiple ESP species and community composition as direct measures of the ES (ESP response, as opposed to driver)... so there are no ESP drivers reported in the table, pest and parisitoids are rather incorporated as ecosystem disservices/services",FALSE,,"Feedbacks are complicated: they quantify parisitoids as a metric of biocontrol success and ask how land/use management affect parisitoids. Although they do not look at the effect of parasitoids on pest occupancy/health directly (meaning it is not an ESP DRIVER here), it could still be considered an ESP conceptually; and they DO look at how at how a separate ES metric (pest abundance) affects parisitioids... i.e. ES effect on ESP.",,
Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control,Rusch,JOURNAL OF APPLIED ECOLOGY,2017,KCG,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),,,
Pattern and scale in latitude-production relationships for freshwater fishes,Rypel,ECOSPHERE,2017,AK,FALSE,final,"Single species  [e.g. ESPs, single species],Across species  [e.g. community structure, diversity]",2,,FALSE,,"I wasn't sure which category to put latitude in, but because it's linked to temperature, I put it in Environ. Drivers. The effect of latitude varied with the scale (negative relationship at one scale, no apparent relationship at North America scale)","Fish production as a provisioning ES, dependent on latitude (env. driver)",
Vegetation growth and sediment dynamics in a created freshwater wetland,Saaltink,ECOLOGICAL ENGINEERING,2018,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,Sabatier,BASIC AND APPLIED ECOLOGY,2013,IS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,two beneficial insects: a hymenopteran egg–parasitoid and a ceratopogonid pollinator,TRUE,modeled influences of 3 organisms: 2 beneficial insects; 1 crop pest,strictly modelling paper but did model cacao yield as ES and also focused on two ESPs,Strictly modeling paper on a crop-pest system. Model considers the yield thus an ES.,
Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?,Salisbury,BIOTROPICA,2015,AK,FALSE,final,"Single species  [e.g. ESPs, single species],Across species  [e.g. community structure, diversity]",2,Started out just looking at species composition and productivity but ended up finding that there were certain species (ESPs) that were more productive.,TRUE,species composition,"Didn't find plot level differences in productivity, but found that certain species are more productive than others.",,
Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil,Sattler,ECOLOGICAL ENGINEERING,2014,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"Reports diversity of trees based on site (flat or slope), which species occur only at one site type, which occur at both. Paper does not relate ESP to service provision, it's more to characterize veg community at each site type (sloped site vs flat site).",FALSE,,"Not sure if biomass/carbon pool measurements intended as ES but think so?? Metrics like percent cover and forest structure (e.g. basal area, tree density, and tree height) are EFs not ES.",counting carbon sequestration described here as an ES,
Landscape structure influences bee community and coffee pollination at different spatial scales,Saturni,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,LD,FALSE,final,"Single species  [e.g. ESPs, single species],Across species  [e.g. community structure, diversity]",2,"also measured forest cover and coffee cover at different scales for landscape context. I wasn't sure if that was considered an environmental driver but I put it as a human driver. ""As expected by previous results (revision in Ngo et al., 2011), changes in bee community affected Coffea arabica fruit set, and this pattern was strong both at the landscape and the shrub scales.""",TRUE,Service Provider (Q17); native bee abundance; native bee richness; native bee  diversity (Shannon index); Apis mellifera abundance,One possible explanation for the lack of an effect of landscape configuration on bee community composition could be related to the range of landscape structure covered by our sampling. Previous studies that detected an effect of landscape configuration (e.g. isolation) on bees considered a wider range of distance to the forest,,
Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile,Schulz,ECOSPHERE,2017,CW,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,"Explanatory variables they started with: 8 biophysical extracted from raster maps + 18 bioclimatic variables from WorldClim raster dataset + 4 socio-econ variables. Removed correlated variables from models. Drives don't have a quantifiable direction (at least in what's presented) because end result of modeling is a wall to wall map showing levels of ES, multifunctional hotspots, and restoration/regen suitability based on those underlying drivers.",Unclear if they really identified strong drivers of ES.. may exclude if determined to only be landscape valuation,
"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems",Seabloom,GLOBAL CHANGE BIOLOGY,2013,KCG,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Service Provider (Q17),,,
Stream corridors as indicators of watershed land use: A case study in Istanbul,Serengil,BOSQUE,2012,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,they don't explicitly use ESP terminology - I speculated,TRUE,Service Provider (Q17); herbaceous cover diversity; macroinvertebrate and fish population,,,
Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes,Sherren,LANDSCAPE AND URBAN PLANNING,2011,CK,FALSE,final,,0,,FALSE,,,I think might only be included based on aesthetics as an ecosystem service.,
From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,Shive,ECOLOGICAL APPLICATIONS,2018,AIS,FALSE,final,,0,,FALSE,,,,
Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016,AIS,FALSE,final,,0,,FALSE,,,,
Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,Sobral,NATURE ECOLOGY & EVOLUTION,2017,TK/KCG,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),"KCG: This paper seems like an excellent example of ESPs, functions, and services.",,"Looked at mammals and trees (across ESPs), and structure (e.g. richness, diversity) within each ESP type influencing carbon response variables (combined TK and KCG answers)"
"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Solins,LANDSCAPE AND URBAN PLANNING,2018,LD/TK,TRUE,final,Only land cover or habitat type as proxy,1,riparian canopy abundance mentioned as an ESP but not quantified.,TRUE,riparian canopy,,,
Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,Solomou,JOURNAL OF NATURAL HISTORY,2019,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,found 7 isopod species,FALSE,,,Measures isopod species richness but specifically discusses it as a bioindicator,
Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17); freshwater mussels,,,
Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017,SDJ,FALSE,final,,0,,FALSE,,they say that feedbacks were modeling implicitly for recreation.,CTW re-evaluated article for Q8; LD: Also compares different ES modeling approaches,
Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018,LB,FALSE,final,"Across species  [e.g. community structure, diversity]",1,the species are PLANTS not insects,TRUE,Productivity; Canopy density; initial Canopy density; Stems per m2,,,
Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,SDJ,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),"in this paper, weeds are discussed as have potentially positive impacts on okra yield",,
Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
