EBIOReviewer,Number,AuthorsFull,Title,SourcePublication,Abstract,PublicationDate,PublicationYear,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
Travis,1166,"Lu, Yihe; Sun, Feixiang; Wang, Jianglei; Zeng, Yuan; Holmberg, Maria; Bottcher, Kristin; Vanhala, Pekka; Fu, Bojie",Managing landscape heterogeneity in different socio-ecological contexts: contrasting cases from central Loess Plateau of China and southern Finland,LANDSCAPE ECOLOGY,"Landscape transition drives environmental change across the globe. However, landscape and its change are complex with high spatial heterogeneity, which challenges strategic decision-making. This paper aims to derive management meaningful units based on landscape status and change analysis and the generalization of landscape spatial heterogeneity. Based on contrasting cases from Finland (Vanajavesi) and China (Baota District), this paper analyzed the landscape attributes and change since 2000. A k-means clustering approach was used to generalize the landscape types based on indicators of landscape composition and its change, spatial pattern, population, and income. Most significant change in land covers was the expansion of artificial surfaces, and the bi-directional transitions between agricultural areas and forests and semi-natural areas in Vanajavesi, while the expansion of artificial land and shrinkage of cropland were most significant in Baota District. Larger changes in landscape metrics were also observed in Baota District. Finally, three landscape clusters were generalized in both of the case areas. For each cluster, the landscapes and their change characteristics were interpreted as pertinent to the average land cover pattern and its change and socioeconomic conditions. Brief landscape management recommendations were also given for the resulting clusters. This paper contributes to enriching the understanding of the analysis and management of landscape spatial heterogeneity based on the information from both landscape status and change. The contrasting case analyses from an international perspective indicate the usefulness of clustering approach in accommodating spatial heterogeneity, which imply a regionalized need for landscape monitoring, assessment, and management.",MAR,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1167,"Holland, John M.; Smith, Barbara M.; Storkey, Jonathan; Lutman, Peter J. W.; Aebischer, Nicholas J.",Managing habitats on English farmland for insect pollinator conservation,BIOLOGICAL CONSERVATION,"Agri-environment scheme habitats can support declining pollinators, but optimum approaches for deployment remain uncertain. The impact of three management treatments (project-, farm-managed and organic farming) alongside habitat type, quantity of uncropped land removed from production and spatial configuration (strips or blocks) on wild bees, butterflies and hoverflies were investigated. Pollinators were assessed on 28 sites over three years, along boundaries representing site scale (ca. 100-ha) and within project-managed (floristically enhanced grass, wild bird seed mix, insect rich cover and natural regeneration) or farm-managed wildlife habitats (typically grass margins or game cover). Project-management resulted in the creation of the most widely utilised habitats (floristically enhanced grass and wild bird seed mixtures), but these may attract wild bees away from boundaries whereas butterfly abundance (Lycaenidae and Pieridae) was enhanced along field boundaries. Organic management and spatial configuration of habitats had little impact. Proportion of uncropped land per site was positively related to Cuckoo bee, Lycaenidae and Satyridae density and butterfly species richness at site scale and on the density of several bee species, total wild bees, Pieridae and total butterflies in wildlife habitats. The mean abundance of uncropped land was 3.6% and at least double this was required to double the abundance of wild bees and butterflies. Wild bee densities were highest in field boundaries and floristically enhanced grass and positively correlated with flower cover. Butterflies sought habitats containing their larval food plants and high flower cover. Hoverflies were most abundant in the insect rich cover. Wildlife habitat in agricultural landscapes may be insufficient and additional, diverse habitats are needed to encourage pollinators. (C) 2014 Elsevier Ltd. All rights reserved.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1168,"Heilmann-Clausen, Jacob; Barron, Elizabeth S.; Boddy, Lynne; Dahlberg, Anders; Griffith, Gareth W.; Norden, Jenni; Ovaskainen, Otso; Perini, Claudia; Senn-Irlet, Beatrice; Halme, Panu",A fungal perspective on conservation biology,CONSERVATION BIOLOGY,"Hitherto fungi have rarely been considered in conservation biology, but this is changing as the field moves from addressing single species issues to an integrative ecosystem-based approach. The current emphasis on biodiversity as a provider of ecosystem services throws the spotlight on the vast diversity of fungi, their crucial roles in terrestrial ecosystems, and the benefits of considering fungi in concert with animals and plants. We reviewed the role of fungi in ecosystems and composed an overview of the current state of conservation of fungi. There are 5 areas in which fungi can be readily integrated into conservation: as providers of habitats and processes important for other organisms; as indicators of desired or undesired trends in ecosystem functioning; as indicators of habitats of conservation value; as providers of powerful links between human societies and the natural world because of their value as food, medicine, and biotechnological tools; and as sources of novel tools and approaches for conservation of megadiverse organism groups. We hope conservation professionals will value the potential of fungi, engage mycologists in their work, and appreciate the crucial role of fungi in nature. Una Perspectiva Micotica de la Biologia de la Conservacion Resumen Hasta el momento, los hongos rara vez han sido considerados dentro de la Biologia de la Conservacion, pero esto esta cambiando conforme la disciplina cambia su enfoque en problemas de especies individuales hacia una estrategia integrada basada en los ecosistemas. El enfasis actual en la biodiversidad como proveedor de servicios ambientales enfoca la atencion en la amplia diversidad de hongos, sus papeles cruciales en los ecosistemas terrestres y los beneficios de considerar a los hongos en sintonia con las plantas y los animales. Revisamos el papel de los hongos en los ecosistemas y elaboramos un resumen del estado actual de su conservacion. Hay cinco areas en las cuales los hongos pueden integrarse inmediatamente en la conservacion: como proveedores de habitats y procesos importantes para otros organismos; como indicadores de tendencias deseadas o indeseadas en el funcionamiento del ecosistema; como indicadores de habitats con valor de conservacion; como proveedores de enlaces fuertes entre las sociedades humanas y el mundo natural debido a sus valores como alimento, medicinas y herramientas biotecnologicas; y como una fuente de herramientas y estrategias novedosas para la conservacion de grupos megadiversos de organismos. Esperamos que los profesionales de la conservacion valoren el potencial de los hongos, integren a los micologos en su trabajo y aprecien el papel crucial de los hongos en la naturaleza.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1169,"Douglas, Margaret R.; Rohr, Jason R.; Tooker, John F.","Neonicotinoid insecticide travels through a soil food chain, disrupting biological control of non-target pests and decreasing soya bean yield",JOURNAL OF APPLIED ECOLOGY,"Neonicotinoids are the most widely used insecticides world-wide, but their fate in the environment remains unclear, as does their potential to influence non-target species and the roles they play in agroecosystems. We investigated in laboratory and field studies the influence of the neonicotinoid thiamethoxam, applied as a coating to soya bean seeds, on interactions among soya beans, non-target molluscan herbivores and their insect predators. In the laboratory, the pest slug Deroceras reticulatum was unaffected by thiamethoxam, but transmitted the toxin to predaceous beetles (Chlaenius tricolor), impairing or killing >60%. In the field, thiamethoxam-based seed treatments depressed activity-density of arthropod predators, thereby relaxing predation of slugs and reducing soya bean densities by 19% and yield by 5%. Neonicotinoid residue analyses revealed that insecticide concentrations declined through the food chain, but levels in field-collected slugs (up to 500ngg(-1)) were still high enough to harm insect predators.Synthesis and applications. Our findings reveal a previously unconsidered ecological pathway through which neonicotinoid use can unintentionally reduce biological control and crop yield. Trophic transfer of neonicotinoids challenges the notion that seed-applied toxins precisely target herbivorous pests and highlights the need to consider predatory arthropods and soil communities in neonicotinoid risk assessment and stewardship. Our findings reveal a previously unconsidered ecological pathway through which neonicotinoid use can unintentionally reduce biological control and crop yield. Trophic transfer of neonicotinoids challenges the notion that seed-applied toxins precisely target herbivorous pests and highlights the need to consider predatory arthropods and soil communities in neonicotinoid risk assessment and stewardship.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1170,"Macfadyen, S.; Hopkinson, J.; Parry, H.; Neave, M. J.; Bianchi, F. J. J. A.; Zalucki, M. P.; Schellhorn, N. A.",Early-season movement dynamics of phytophagous pest and natural enemies across a native vegetation-crop ecotone,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"There is limited understanding about how insect movement patterns are influenced by landscape features, and how landscapes can be managed to suppress pest phytophage populations in crops. Theory suggests that the relative timing of pest and natural enemy arrival in crops may influence pest suppression. However, there is a lack of data to substantiate this claim. We investigate the movement patterns of insects from native vegetation (NV) and discuss the implications of these patterns for pest control services. Using bi-directional interception traps we quantified the number of insects crossing an NV/crop ecotone relative to a control crop/crop interface in two agricultural regions early in the growing season. We used these data to infer patterns of movement and net flux. At the community-level, insect movement patterns were influenced by ecotone in two out of three years by region combinations. At the functional-group level, pests and parasitoids showed similar movement patterns from NV very soon after crop emergence. However, movement across the control interface increased towards the end of the earlyseason sampling period. Predators consistently moved more often from NV into crops than vice versa, even after crop emergence. Not all species showed a significant response to ecotone, however when a response was detected, these species showed similar patterns between the two regions. Our results highlight the importance of NV for the recruitment of natural enemies for early season crop immigration that may be potentially important for pest suppression. However, NV was also associated with crop immigration by some pest species. Hence, NV offers both opportunities and risks for pest management. The development of targeted NV management may reduce the risk of crop immigration by pests, but not of natural enemies. Crown Copyright (C) 2014 Published by Elsevier B.V. All rights reserved.",1-feb,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1171,"Branchini, Simone; Pensa, Francesco; Neri, Patrizia; Tonucci, Bianca Maria; Mattielli, Lisa; Collavo, Anna; Sillingardi, Maria Elena; Piccinetti, Corrado; Zaccanti, Francesco; Goffredo, Stefano",Using a citizen science program to monitor coral reef biodiversity through space and time,BIODIVERSITY AND CONSERVATION,"Coral reefs are the most biodiverse ecosystems of the ocean and they provide notable ecosystem services. Large-scale monitoring is necessary to understand the effects of anthropogenic threats and environmental change on coral reef habitats and citizen science programs can support this effort. Seventy-two marine taxa found in the Red Sea were surveyed by non-specialist volunteers during their regular recreational dives, using SCUBA Tourism for the Environment (STE) questionnaires. Over a period of 4-years, 7,125 divers completed 17,905 questionnaires (14,487 diving hours). Validation trials were carried out to assess the data reliability (Cronbach's alpha > 50 % in 83.6 % of validation trials), showing that non-specialists performed similarly to conservation volunteer divers on accurate transect. The resulting sightings-based index showed that the biodiversity status did not change significantly within the project time scale, but revealed spatial trends across areas subjected to different protection strategies. Higher biodiversity values were found in Sharm el-Sheikh, within protected Ras Mohammed National Park and Tiran Island, than in the less-regulated Hurghada area. Citizen science programs like STEproject represent novel, reliable, cost-effective models for biodiversity monitoring, which can be sustained and embedded within long-term monitoring programmes, and extended to include a wider geographical scale, while increasing the environmental education of the public.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1172,"Pander, Joachim; Mueller, Melanie; Geist, Juergen",Succession of fish diversity after reconnecting a large floodplain to the upper Danube River,ECOLOGICAL ENGINEERING,"River floodplains are important for their biodiversity and productivity, yet are considered one of the most threatened ecosystem types. Due to increasing awareness of the ecosystem services provided by floodplains, their restoration and reconnection with the main channels have become core topics in policy, management and science. In one of the last remaining alluvial forests at the upper Danube River, a new secondary floodplain channel was artificially created in 2010 using a nature-orientated construction scheme. The objective of this study was to analyze the colonization and succession of the fish community in the new floodplain river and the adjacent temporarily connected floodplain habitats over a period of four years. Following the restoration-induced changes in habitat morphology and availability of habitat space, a very fast initial colonization was observed, with 46% of the source species pool of the Danube present in the study area after only two months. Colonization by fishes was explained by habitat features such as habitat morphology as well as biological features such as the species inventory of the source habitat and life-history traits. The time span required for developing functional demographic structures could be explained by the degree of specialization in different life stages, with faster population development in species with high ecological plasticity. The high representation of small individuals in multiple fish species indicates the importance of the artificial floodplain channel as habitat for early life stages. Consequently, the new floodplain channel seems to at least partly mitigate the habitat loss in the main river. (C) 2014 Elsevier B.V. All rights reserved.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1173,"Peters, Debra P. C.; Havstad, Kris M.; Archer, Steven R.; Sala, Osvaldo E.",Beyond desertification: new paradigms for dryland landscapes,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"The traditional desertification paradigm focuses on the losses of ecosystem services that typically occur when grasslands transition to systems dominated by bare (unvegetated) ground or by woody plants that are unpalatable to domestic livestock. However, recent studies reveal complex transitions across a range of environmental conditions and socioeconomic contexts. The papers in this Special Issue illustrate how an improved understanding of these dynamics is generating more robust paradigms, where state changes and regime shifts occurring within the context of changes in land use and climate are modified by landform and antecedent conditions. New and emerging technologies are being used to characterize and evaluate processes and outcomes across various scales and levels of organization. At the same time, developments in education are taking advantage of these new perspectives. to improve the ecological literacy of future generations, and to better inform land-management decisions. A framework that integrates these perspectives provides a more comprehensive approach for understanding and predicting dryland dynamics.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1174,"Rogers, Alice; Harborne, Alastair R.; Brown, Christopher J.; Bozec, Yves-Marie; Castro, Carolina; Chollett, Iliana; Hock, Karlo; Knowland, Cheryl A.; Marshell, Alyssa; Ortiz, Juan C.; Razak, Tries; Roff, George; Samper-Villarreal, Jimena; Saunders, Megan I.; Wolff, Nicholas H.; Mumby, Peter J.",Anticipative management for coral reef ecosystem services in the 21st century,GLOBAL CHANGE BIOLOGY,"Under projections of global climate change and other stressors, significant changes in the ecology, structure and function of coral reefs are predicted. Current management strategies tend to look to the past to set goals, focusing on halting declines and restoring baseline conditions. Here, we explore a complementary approach to decision making that is based on the anticipation of future changes in ecosystem state, function and services. Reviewing the existing literature and utilizing a scenario planning approach, we explore how the structure of coral reef communities might change in the future in response to global climate change and overfishing. We incorporate uncertainties in our predictions by considering heterogeneity in reef types in relation to structural complexity and primary productivity. We examine 14 ecosystem services provided by reefs, and rate their sensitivity to a range of future scenarios and management options. Our predictions suggest that the efficacy of management is highly dependent on biophysical characteristics and reef state. Reserves are currently widely used and are predicted to remain effective for reefs with high structural complexity. However, when complexity is lost, maximizing service provision requires a broader portfolio of management approaches, including the provision of artificial complexity, coral restoration, fish aggregation devices and herbivore management. Increased use of such management tools will require capacity building and technique refinement and we therefore conclude that diversification of our management toolbox should be considered urgently to prepare for the challenges of managing reefs into the 21st century.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1175,"La Pierre, Kimberly J.; Smith, Melinda D.",Functional trait expression of grassland species shift with short- and long-term nutrient additions,PLANT ECOLOGY,"Humans are altering nutrient availability worldwide, likely affecting plant trait expression, with consequences for community composition and ecosystem function. Here, we examined the responses of plant species dominant under ambient nutrient conditions (baseline species) versus those that become dominant under increased nutrient conditions (enriched species) in a tallgrass prairie ecosystem. The expression of 8 functional traits was quantified for 3 baseline and 3 enriched species within one short-term and one long-term nutrient addition experiment. We found that enriched species occupied a trait space characterized by traits that generally correspond with faster growth rates than baseline species. Additionally, the enriched species shifted in their trait expression relative to the control more than the baseline species with nutrient additions, particularly within the long-term experiment. The trait space shifts of individual species with nutrient additions scaled up to affect community aggregate trait values within both experiments. However, traits that responded to nutrient additions at the community level were not strong predictors of aboveground net primary productivity (ANPP) within the short-term experiment. In contrast, in the long-term experiment, one response trait (community aggregate height) strongly correlated with variation in ANPP with nutrient additions. The link between plant functional traits and community and ecosystem responses to chronic nutrient additions shown here will provide important insight into key mechanisms driving grassland responses to global change.",FEB,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1176,"Grunewald, Karsten; Bastian, Olaf",Ecosystem assessment and management as key tools for sustainable landscape development: A case study of the Ore Mountains region in Central Europe,ECOLOGICAL MODELLING,"Principles of sustainability were mentioned for the very first time in the Ore Mountains in Central Europe some 300 years ago, triggered by the shortage of timber. Always new problems and challenges occurred throughout history caused by changes in ecosystems, which influenced sustainability aspects. This region was marked by drastic environmental impacts, particularly strong SO2 immissions in the second half of the 20th century. Since the political transformation of 1989, both air quality and the functioning and integrity of ecosystems have improved and the rehabilitation of the destroyed forests and degraded peatbogs has begun. The ups and downs of landscape development, in particular the crises in the human-environment relationship in the region, were not only associated with changes in the ecosystem, but also with a process of gaining and structuring knowledge, concept development, and communications. In this paper, we provide a framework for assessing sustainable land use management, and to demonstrate it by way of examples of successful implementation in the Ore Mountains region. In this context we will focus on such important ecological approaches as the concepts of ecosystem research, ecological indicators, ecological integrity, and ecosystem services. Thus, we describe the demand for integrating available knowledge into conceptual approaches, and moving into implementation procedures by means of integrated land management. (C) 2014 Elsevier B.V. All rights reserved.",10-ene,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1177,"Spangenberg, J. H.; Douguet, J. -M.; Settele, J.; Heong, K. L.",Escaping the lock-in of continuous insecticide spraying in rice: Developing an integrated ecological and socio-political DPSIR analysis,ECOLOGICAL MODELLING,"A narrow perception of causality chains can be counterproductive and self-defeating, as the case of pesticide use in Asian rice production shows. Using the Driving Forces - Pressures - State - Impact - Response (DPSIR) scheme developed by EEA and Eurostat we analyse the logic inherent to the application of insecticides. Its underlying biology-to-society perspective considers insects as the initial Pressure, spraying insecticides as adequate Response and yield protection as result. This view is apparently supported by positive results in the early growth phase, but this short term success is paid for by increased system sensitivity, possibly leading to severe damages in the later stages when a seemingly similar situation is indeed very different. This is due to the complementary but ignored society-to-biology loop: insecticide spraying leads to biocontrol loss enhancing vulnerability. Once the system has gone through both loops, the State of the system has changed, enhancing its sensitivity to planthopper infestations. The changed State leads to unexpected Impacts - in particular, the standard Response is no longer capable of reducing the Drivers (the numbers of planthoppers) as expected. This does not become obvious, however, before a new pressure arises and cannot be understood inside the standard management loop but requires combining it with the society-to-biology loop. A double-DPSIR scheme is suggested as a heuristic device, and as a communication tool conveying the message in a simplified way. It shows that the Responses of one loop are the Drivers of the other, leading to different conclusions based on different pre-analytical visions. (C) 2014 Elsevier B.V. All rights reserved.",10-ene,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1178,"Aretano, Roberta; Semeraro, Teodoro; Petrosillo, Irene; De Marco, Antonella; Pasimeni, Maria Rita; Zurlini, Giovanni",Mapping ecological vulnerability to fire for effective conservation management of natural protected areas,ECOLOGICAL MODELLING,"The challenge for conservation managers is to ensure the long-term sustainability of an area by preserving its ecological and cultural values against predictable and unpredictable natural and human pressures and, at the same time, ensuring the fruition of the environmental resources. This research proposes an integrated use of GIS-based Decision Support System (DSS) with a conceptual linear model of vulnerability to foster conservation strategies in protected areas, by identifying: (1) the most vulnerable areas, requiring specific protection measures to enhance the natural features, as well as the prevention of natural and human risks; (2) the most effective management interventions to reduce system vulnerability to fire. The development of such a tool has been tested on the natural protected area of Torre Guaceto, through the selection of suitable indicators that enable discrimination among different levels of sensitivity and pressures, in order to provide evidence of its potential utility for the management of protected areas and the mitigation of their vulnerabilities. The results highlight that the most vulnerable areas are represented by contiguous patches of wetlands, the load of fuel at wetlands-agricultural lands interface areas, and the small patches of century-old forests, Mediterranean maquis and coastal dunes. On the basis of the results it is desirable that future researches on vulnerability should not only consider the ""of what to what"", but also consider ""for who, where and when"" with a focus on the spatial and temporal scale dimensions of vulnerability. (C) 2014 Elsevier B.V. All rights reserved.",10-ene,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1179,"Vejre, H.; Vesterager, J. P.; Andersen, P. S.; Olafsson, A. S.; Brandt, J.; Dalgaard, T.",Does cadastral division of area-based ecosystem services obstruct comprehensive management?,ECOLOGICAL MODELLING,"Management of ecological entities in agricultural landscapes is often challenged by a complex ownership structure governed by a cadastral system dictated by agricultural interests and historical land use practices. The cadastral division is suspected to obstruct the deliverance of ecosystem services (ES) from the landscape. The objective of this analysis is to quantify the cadastral fragmentation of selected landscape-scale ES. Contiguous ecological units and landscape entities as designated in Danish municipal planning were analyzed. The designations comprised the existing ES represented by EU Natura 2000 areas, drinking water protection areas and valuable landscapes, and potential ES in areas designated for potential wetlands, afforestation and recreational trails. In each designated area the cadastral structure in terms of number of units, size, and number of affected properties was analyzed. In all cases a large number of rather small (mean area <10 ha) cadastral units with different owners characterize the designated areas providing particular ES. Accordingly large numbers of properties were affected by the designations. The reasons for the high numbers of cadastral units pertain to the historical background of the cadaster as a tool of optimizing agricultural production. This suggests inherited difficulties in imposing a uniform management regime in cases where regulatory tools are dependent on the attitude of the individual land owner. Difficulties are also arising in situations where potential ES are to be unfolded in spatial explicit contexts; all landowners must be aligned in terms of new regulation if the particular service is to be released simultaneously and uniformly in a spatial defined area. It is concluded that sound ecosystem and landscape management that follows boundaries defined by natural phenomenon is impeded by cadastral divisions. (C) 2014 Elsevier B.V. All rights reserved.",10-ene,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1180,"Hainz-Renetzeder, C.; Schneidergruber, A.; Kuttner, M.; Wrbka, T.",Assessing the potential supply of landscape services to support ecological restoration of degraded landscapes: A case study in the Austrian-Hungarian trans-boundary region of Lake Neusiedl,ECOLOGICAL MODELLING,"The concept of ecosystem functions and services has increasingly gained attention in the scientific and political community in the last decade. Lot of work has been performed to assess the actual delivery of different services for society. Still, the reference of the landscape's potential to supply these actual services has not been investigated satisfactory so far. We thus aimed at assess the potential supply of landscape services in the study area of Lake Neusiedl in Austria - a region of acknowledged diversity and environmental quality - and compared these to the actual ones. We did this by setting up a map of constructed vegetation type where physiographic site conditions were used to calculate potential land cover in the area in GIS. These constructed vegetation types were linked to landscape services within a capacity matrix giving a weight between 0 (no supply) and 5 (high supply) to which amount one type can provide each single service. The resulting map showed large differences in areal extent of the different vegetation types reflecting the different landscapes in the region such as the dominance of forest steppe in the terraced landscapes or the occurrence of halophytic vegetation only in the lake basin. The same is true for the different landscape services. Some services like 'nursery' and 'raw materials' were quite highly provided throughout the area with values between 2.12 and 4.84, whereas 'genetic resources' and 'pollination' were only little provided (all values <2). On the other hand, functions like 'nutrient regulation' or 'refugium' exhibited their large potential with values >4 in the study area. The aggregation of the services by averaging values to finally derive three main service groups gave the highest values always to habitat (values between 3.1 and 4.8), followed by regulation (2.5-4.2) and then provision (1.9-3.2). Comparing the potential with the actual service supply, nearly all landscapes in the study area resulted in higher potential than the actual service supply. We further discuss possibilities to use the potential supply as a leitbild where restoration projects might be settled in the study area even though more detailed local data will be needed to set these projects up. (C) 2014 Elsevier B.V. All rights reserved.",10-ene,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1181,"Lamb, David; McDonald, Tein",Harnessing reforestation to achieve greater biodiversity gains: Interview with David Lamb,ECOLOGICAL MANAGEMENT & RESTORATION,"For some decades, David Lamb has been seeking ways to help communities around the world reforest landscapes to improve ecological functioning and enhance local people's livelihoods. Here he describes how there is increasing world-wide interest in expanding reforestation to generate ecosystem services and outlines some of the issues this raises for restoration practitioners.",JAN,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1182,"Forbes, Adam S.; Norton, David A.; Carswell, Fiona E.",Underplanting degraded exotic Pinus with indigenous conifers assists forest restoration,ECOLOGICAL MANAGEMENT & RESTORATION,"We propose that nonharvest plantations could provide important opportunities for restoration of indigenous forest cover and related ecosystem services. We assessed the relative performance of three Podocarpaceae (podocarps) species planted into a degraded Ponderosa Pine (Pinus ponderosa) plantation, central North Island, New Zealand. We hypothesised that the degraded pine plantation overstorey could provide suitable conditions for the development of a podocarp-dominated forest structure within ca. 50years of underplanting and that podocarp growth would differ depending on the species suitability to the site. Rimu (Dacrydium cupressinum) significantly outperformed both Totara (Podocarpus totara) and Kahikatea (Dacrycarpus dacrydioides) in height and diameter growth. Rimu was now the structurally dominant tree where it occurred rather than pine. Per annum scaled carbon storage within Rimu stands was significantly greater than the Totara, Kahikatea or Pine stands. All podocarp species had attained a greater stand density compared to the pine overstorey. Possible reasons for the differing podocarp growth performance include different light requirements, response to soil nutrients, elevational distributions and frost susceptibility. There were significant differences in understorey species richness among the different stands of podocarp species. Underplanting accelerated successional development by incorporating late-successional indigenous canopy dominants within the forest succession and overcame limitations imposed on forest succession at the site from its isolation from indigenous forest tree seed sources.",JAN,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1183,"Ban, Natalie C.; Evans, Louisa S.; Nenadovic, Mateja; Schoon, Michael","Interplay of multiple goods, ecosystem services, and property rights in large social-ecological marine protected areas",ECOLOGY AND SOCIETY,"Protected areas are a cornerstone of biodiversity conservation, and increasingly, conservation science is integrating ecological and social considerations in park management. Indeed, both social and ecological factors need to be considered to understand processes that lead to changes in environmental conditions. Here, we use a social-ecological systems lens to examine changes in governance through time in an extensive regional protected area network, the Great Barrier Reef Marine Park. We studied the peer-reviewed and nonpeer-reviewed literature to develop an understanding of governance of the Great Barrier Reef Marine Park and its management changes through time. In particular, we examined how interacting and changing property rights, as designated by the evolving marine protected area network and other institutional changes (e.g., fisheries management), defined multiple goods and ecosystem services and altered who could benefit from them. The rezoning of the Great Barrier Reef Marine Park in 2004 substantially altered the types and distribution of property rights and associated benefits from ecosystem goods and services. Initially, common-pool resources were enjoyed as common and private benefits at the expense of public goods (overexploited fisheries and reduced biodiversity and ecosystem health). The rezoning redefined the available goods and benefits and who could benefit, prioritizing public goods and benefits (i.e., biodiversity conservation), and inducing private costs (through reduced fishing). We also found that the original conceptualization of the step-wise progression of property rights from user to owner oversimplifies property rights based on its division into operational and collective-choice rule-making levels. Instead, we suggest that a diversity of available management tools implemented simultaneously can result in interactions that are seldom fully captured by the original conceptualization of the bundling of property rights. Understanding the complexities associated with overlapping property rights and multiple goods and ecosystem services, particularly within large-scale systems, can help elucidate the source and nature of some of the governance challenges that large protected areas are facing.",,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1184,"Jorgensen, Dolly","Ecological restoration as objective, target, and tool in international biodiversity policy",ECOLOGY AND SOCIETY,"Ecological restoration has been mainstreamed in international biodiversity policies in the last five years. I analyze statements about restoration in three international policies: the Convention for Biodiversity Strategic Plan 2011-2020 and Aichi Biodiversity Targets, the Convention for Biodiversity Decision XI1/16 on ecosystem restoration, and the European Union's Biodiversity Strategy to 2020. I argue that restoration functions at three different levels in these policies: as an objective, as a target, and as a tool. Because restoration appears at all three levels, the policies encourage counting all restoration activity as meeting the objectives of the policy regardless of the activity's actual effect on ecosystem services or biodiversity more broadly. Reaching a numerical target for a restored area may not necessarily support the overarching policy goals of maintaining Earth's biodiversity and supporting ecosystem services.",,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1185,"Ruppert-Winkel, Chantal; Arlinghaus, Robert; Deppisch, Sonja; Eisenack, Klaus; Gottschlich, Daniela; Hirschl, Bernd; Matzdorf, Bettina; Moelders, Tanja; Padmanabhan, Martina; Selbmann, Kirsten; Ziegler, Rafael; Plieninger, Tobias","Characteristics, emerging needs, and challenges of transdisciplinary sustainability science: experiences from the German Social-Ecological Research Program",ECOLOGY AND SOCIETY,"Transdisciplinary sustainability science (TSS) is a prominent way of scientifically contributing to the solution of sustainability problems. Little is known, however, about the practice of scientists in TSS, especially those early in their career. Our objectives were to identify these practices and to outline the needs and challenges for early career scientists in TSS. To that end, we compiled 10 key characteristics of TSS based on a literature survey. We then analyzed research groups with 81 early career scientists against these characteristics. All of these research groups are funded by an ongoing federally funded German program for social-ecological research whose main feature is to promote sustainability-oriented inter-and transdisciplinary research. We found that the practices of the 12 groups generally correspond with the characteristics for TSS, although there is ample variation in how they were addressed. Three major challenges were identified: (1) TSS demands openness to a plurality of research designs, theories, and methods, while also requiring shared, explicit, and recursive use of TSS characteristics; (2) researchers in TSS teams must make decisions about trade-offs between achievements of societal and scientific impact, acknowledging that focusing on the time-consuming former aspect is difficult to integrate into a scientific career path; and (3) although generalist researchers are increasingly becoming involved in such TSS research projects, supporting the integration of social, natural, and engineering sciences, specialized knowledge is also required.",,2015,,,,,,,,,,,,,,,,,,,,,,
Travis,1186,"Davies, Kathryn K.; Fisher, Karen T.; Dickson, Mark E.; Thrush, Simon F.; Le Heron, Richard",Improving ecosystem service frameworks to address wicked problems,ECOLOGY AND SOCIETY,"Complex problems often result from the multiple interactions between human activities and ecosystems. The interconnected nature of ecological and social systems should be considered if these ""wicked problems"" are to be addressed. Ecosystem service approaches provide an opportunity to link ecosystem function with social values, but in practice the essential role that social dynamics play in the delivery of outcomes remains largely unexplored. Social factors such as management regimes, power relationships, skills, and values, can dramatically affect the definition and delivery of ecosystem services. Input from a diverse group of stakeholders improves the capacity of ecosystem service approaches to address wicked problems by acknowledging diverse sets of values and accounting for conflicting world views. Participatory modeling can incorporate both social and ecological dynamics into decision making that involves stakeholders, but is itself a complex social undertaking that may not yield precise or predictable outcomes. We explore the efficacy of different types of participatory modeling in relation to the integration of social values into ecosystem services frameworks and the generation of four important elements of social capital needed to address wicked problems: enhancing social learning and capacity building; increasing transparency; mediating power; and building trust. Our findings indicate that mediated modeling, group mapping, and mental/conceptual modeling are likely to generate elements of social capital that can improve ecosystem service frameworks. Participatory simulation, system dynamic modeling, and Bayesian belief networks, if utilized in isolation, were found to have a low likelihood of generating the social capital needed to improve ecosystem services frameworks. Scenario planning, companion modeling, group model building, and participatory mapping all generate a moderate to high level of social capital elements that improve the capacity of ecosystem service frameworks to address wicked problems.",,2015,,,,,,,,,,,,,,,,,,,,,,
